node, x, y
0,590,915
1,597,1067
2,660,845
3,555,955
4,764,963
5,765,910
6,864,1045
7,717,1080
8,227,960
9,1220,675
10,185,835
11,1145,320
12,380,620
13,995,925
14,568,703
15,710,545
16,1121,704
17,1115,960
18,360,860
19,203,582
20,1070,880
21,1145,800
22,777,462
23,177,915
24,972,1085
25,197,530
26,422,830
27,955,480
28,895,647
29,430,300
30,0,0
31,425,587
32,920,515
33,815,650
34,1030,1020
35,400,1080
36,1160,880
37,340,925
38,650,280
39,305,980
40,350,440
41,1150,600
42,115,785
43,525,240
44,1170,415
45,310,1065
46,250,420
47,378,112
48,970,180
49,700,320
50,1190,500
51,864,280
52,715,150
53,888,315
54,287,667
55,247,225
56,555,58
57,1030,750
58,815,135
59,405,460
60,1007,815
61,325,190
62,478,94
63,500,500
64,426,116
65,273,860